Course_Number,Course_Title,Credit_Hours
WELDENG 7193.02,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 7194,Group Studies in Welding Engineering,1.00 - 4.00
WELDENG 7201,Engineering Analysis for Design and Simulation,4.00
WELDENG 7202,Welding Design,3.00
WELDENG 7240,Fitness-for-Service of Welded Structures,2.00
WELDENG 7301,Nondestructive Evaluation,3.00
WELDENG 7302,Industrial Radiography,3.00
WELDENG 7303,Ultrasonic Nondestructive Testing,3.00
WELDENG 7406,Welding of Plastics and Composites,3.00
WELDENG 7407,Adhesive Bonding and Mechanical Joining of Plastics,2.00
WELDENG 7611,Welding Metallurgy Laboratory I,1.00
WELDENG 7612,Welding Metallurgy Laboratory II,1.00
WELDENG 7895,Graduate Seminar,1.00
WELDENG 8004,Theory of Laser Welding,2.00
WELDENG 8193.01,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 8193.02,Individual Studies in Welding Engineering,0.50 - 6.00
WELDENG 8194,Group Studies in Welding Engineering,1.00 - 4.00
WELDENG 8999,Graduate Research in Welding Engineering,0.50 - 18.00
