Course_Number,Course_Title,Credit_Hours
AVIATN 3800,Advanced Uncrewed Aviation Operations Beyond Visual Line of Sight,3.00
AVIATN 3850,Applied Aircraft Performance II,3.00
AVIATN 3900,Air Traffic Management Systems and Environment,3.00
AVIATN 4000,Air Transportation Analysis I,3.00
AVIATN 4100,Commercial Flight Fundamentals,3.00
AVIATN 4101,Commercial Flight Lab,2.00
AVIATN 4102,Commercial Pilot ASEL Flight Laboratory,2.00
AVIATN 4200,Aircraft Dispatch Fundamentals,3.00
AVIATN 4201,Applied Dispatching,3.00
AVIATN 4300,Advanced Multi-Engine Operations,2.00
AVIATN 4301,Commercial Multi Engine Flight Lab,2.00
AVIATN 4400,Airport Management,3.00
AVIATN 4500,Aviation Capstone,3.00
AVIATN 4520,Aviation Capstone: Aviation Engineering,3.00
AVIATN 4800,Professional Practices in Industry,2.00 - 5.00
AVIATN 4999H,Aviation Engineering Research for Honors Thesis,1.00 - 3.00
AVIATN 5000,Air Transportation Analysis II,3.00
AVIATN 5100,Flight Instructor Methodology,2.00
AVIATN 5101,Flight Instructor ASE Flight Lab,2.00
AVIATN 5102,Flight Instructor AME Lab,1.00
AVIATN 5193,Individual Studies in Aviation,2.00 - 5.00
AVIATN 5194,Group Studies in Aviation,2.00 - 5.00
AVIATN 5200,Instrument Flight Instructor Methodology,2.00
AVIATN 5201,Flight Instructor Instrument Flight Lab,1.00
AVIATN 5300,"Airport Planning, Design, and Development",3.00
AVIATN 5400,Access and Retention in Aviation and STEM Workforces,3.00
AVIATN 5998H,Honors Research in Aviation,1.00 - 6.00
BIOMEDE 2000,Introduction to Biomedical Engineering,3.00
BIOMEDE 2001,Professional Development,1.00
BIOMEDE 2193,Individual Studies in Biomedical Engineering,1.00 - 12.00
BIOMEDE 2194,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 2200,Quantitative Principles of Cellular and Molecular Systems,3.00
BIOMEDE 2700,Numerical Simulations in BME,2.00
BIOMEDE 2800,Anatomy for Engineers,3.00
BIOMEDE 3701,Biomedical Engineering Domain Lab,2.00
BIOMEDE 3702,Measurements and Instrumentation Lab,3.00
BIOMEDE 3703,Quantitative Physiology,3.00
BIOMEDE 4001,Clinical Preceptorship in BME,3.00
BIOMEDE 4110,Bioimaging,3.00
BIOMEDE 4193,Individual Studies in Biomedical Engineering,1.00 - 12.00
BIOMEDE 4194,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 4210,Biotransport,3.00
BIOMEDE 4310,Biomaterials,3.00
BIOMEDE 4410,Biomechanics,3.00
BIOMEDE 4510,"Cell, Molecular, and Tissue Engineering",3.00
BIOMEDE 4610,Biomedical Micro/Nanotechnology,3.00
BIOMEDE 4711,Bioimaging Lab,0.50
BIOMEDE 4712,Biotransport Lab,0.50
BIOMEDE 4713,Biomaterials Lab,0.50
BIOMEDE 4714,Biomechanics Lab,0.50
BIOMEDE 4715,"Molecular, Cell, and Tissue Engineering Lab",0.50
BIOMEDE 4716,BME Micro/Nanotechnology Lab,0.50
BIOMEDE 4901,Biomedical Engineering Capstone Design I,3.00
BIOMEDE 4901.01,General BME Capstone I,3.00
BIOMEDE 4901.02,Industry BME Capstone I,3.00
BIOMEDE 4901.03,Medical Product Development Capstone I,3.00
BIOMEDE 4902,Biomedical Engineering Capstone Design II,3.00
BIOMEDE 4902.01,General BME Capstone II,3.00
BIOMEDE 4902.02,Industry BME Capstone II,3.00
BIOMEDE 4902.03,Medical Product Development Capstone II,3.00
BIOMEDE 4998.01,Undergraduate Research in Biomedical Engineering,1.00 - 6.00
BIOMEDE 4998.02,Undergraduate Research in Biomedical Engineering,1.00 - 12.00
BIOMEDE 4999,Biomedical Engineering Undergraduate Thesis Research,1.00 - 6.00
BIOMEDE 4999H,Biomedical Engineering Undergraduate Honors Thesis Research,1.00 - 6.00
BIOMEDE 5001,Cardiovascular Bioengineering,3.00
BIOMEDE 5110,Biomedical Microscopic Imaging,3.00
BIOMEDE 5120,Biomedical Optics,3.00
BIOMEDE 5160,Medical Imaging and Processing,3.00
BIOMEDE 5170,Fundamentals of Medical Imaging,3.00
BIOMEDE 5177,Biomedical Atomic Force Microscopy,3.00
BIOMEDE 5186,Biomedical Ultrasound,3.00
BIOMEDE 5193,Individual Studies in Biomedical Engineering,1.00 - 12.00
BIOMEDE 5194.01,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.02,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.03,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.04,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.05,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.06,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.07,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.08,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5194.09,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 5210,Advanced Biological Transport,3.00
BIOMEDE 5310,Advanced Biomaterials,3.00
BIOMEDE 5340,Polymers in Bioengineering,3.00
BIOMEDE 5353,Hard-Tissue Biomaterials,3.00
BIOMEDE 5359,Extracellular Matrix in BME,3.00
BIOMEDE 5420,Mechanobiology,3.00
BIOMEDE 5421,Tissue Mechanics,3.00
BIOMEDE 5430,Finite Element Applications in BME,3.00
BIOMEDE 5470,Cell & Tissue Mechanics,3.00
BIOMEDE 5510,Advanced Tissue Engineering,3.00
BIOMEDE 5520,Cell Engineering,3.00
BIOMEDE 5550,Engineering Principles in Cancer,3.00
BIOMEDE 5560,Biomedical Engineering Applications in Cancer Biology,3.00
BIOMEDE 5580,Excitable Cell Engineering,3.00
BIOMEDE 5610,Advanced Biomedical Micro/Nanotechnologies,3.00
BIOMEDE 5635,Cellular Nanotechnology,3.00
BIOMEDE 5639,Medical Device Development and Regulation,3.00
BIOMEDE 5661,Biomedical Nanotechnology I,3.00
BIOMEDE 5663,Introduction to Microfluidics and Nanofluidics,3.00
BIOMEDE 5667,BioMEMS Microfabrication,3.00
BIOMEDE 5668,Biomedical Microtransducers,3.00
BIOMEDE 5669,Principles and Design Theory for Advanced Medical Devices,3.00
BIOMEDE 5710,Machine Learning in Biomedical Engineering,3.00
BIOMEDE 5810,Biomedical Industry and Professionalism Seminar,1.00
BIOMEDE 5901,Medical Product Development I,3.00
BIOMEDE 5902,Medical Product Development II,3.00
BIOMEDE 6000,Scientific Methods in Biomedical Engineering,1.00
BIOMEDE 6113,Magnetic Resonance Spectroscopy and Imaging I,3.00
BIOMEDE 6170,Microscopy in Biomechanics,3.00
BIOMEDE 6350,Extracellular Matrix in Bioengineering,3.00
BIOMEDE 6430,Mechanobiology of the Musculoskeletal System in Development and Disease,3.00
BIOMEDE 6530,Engineering Cell Plasticity,3.00
BIOMEDE 6983,Research Ethics,2.00
BIOMEDE 6999,Biomedical Engineering Research for Thesis,1.00 - 16.00
BIOMEDE 7114,Magnetic Resonance Spectroscopy and Imaging II,3.00
BIOMEDE 8193,Individual Studies in Biomedical Engineering,1.00 - 16.00
BIOMEDE 8194,Group Studies in Biomedical Engineering,1.00 - 6.00
BIOMEDE 8810,Biomedical Engineering Seminars I,0.00
BIOMEDE 8811,Biomedical Engineering Seminars II,1.00
BIOMEDE 8812,Biomedical Engineering Seminars III,0.00
BIOMEDE 8813,Biomedical Engineering Seminars IV,1.00
BIOMEDE 8999,Biomedical Engineering Research for Dissertation,1.00 - 16.00
CBE 2100,Chemical Engineering Seminar,1.00
CBE 2194,Group Studies in Chemical and Biomolecular Engineering,1.00 - 6.00
CBE 2200,Process Fundamentals,3.00
CBE 2345,Computational Methods for Chemical Engineering,3.00
CBE 2420,Transport Phenomena I,3.00
CBE 2523,Separation Processes,3.00
CBE 3421,Transport Phenomena II - Heat Transfer,3.00
CBE 3422,Transport Phenomena III - Mass Transfer,3.00
CBE 3508,Chemical Engineering Thermodynamics I,3.00
CBE 3509,Chemical Engineering Thermodynamics II,3.00
CBE 3521,Transport Phenomena II,4.00
CBE 3610,Kinetics and Reactor Design,3.00
CBE 3631,Chemical and Biomolecular Engineering Unit Operations Laboratory I,2.00
CBE 3632,Chemical and Biomolecular Engineering Unit Operations Laboratory II,2.00
CBE 3730,Unit Operations I,1.00
CBE 3731,Unit Operations II,1.00
CBE 3732,Unit Operations III,2.00
CBE 4193,Individual Studies in Chemical and Biomolecular Engineering,1.00 - 12.00
CBE 4194,Group Studies in Chemical and Biomolecular Engineering,1.00 - 6.00
CBE 4624,Chemical Process Dynamics and Control,3.00
CBE 4755,Chemical Process Safety,2.00
CBE 4760,Chemical Engineering Economy and Strategy,3.00
CBE 4764,Chemical and Biomolecular Engineering Process Design and Development,3.00
CBE 4998,Undergraduate Research in Chemical and Biomolecular Engineering,1.00 - 6.00
CBE 4998H,Honors Undergraduate Research in Chemical and Biomolecular Engineering,1.00 - 6.00
CBE 4999,Chemical and Biomolecular Engineering Research for Thesis,1.00 - 5.00
CBE 4999H,Chemical and Biomolecular Engineering Research for Honors Thesis,1.00 - 5.00
CBE 5194,Group Studies in Chemical and Biomolecular Engineering,1.00 - 6.00
CBE 5200,Introduction to Petroleum Engineering,3.00
CBE 5210,Petroleum Reservoir Engineering,3.00
CBE 5230,Petroleum Drilling and Production Engineering,3.00
CBE 5260,Petroleum Project Evaluation,3.00
CBE 5550,Engineering Principles in Cancer,3.00
CBE 5710,Computational Catalysis,3.00
CBE 5712,Catalysis and Catalytic Processes,3.00
CBE 5713,Fuel Cells and Catalysis,3.00
CBE 5715,Particle Technology,3.00
CBE 5734,Molecular Informatics,3.00
CBE 5735,Cellular Nanotechnology,3.00
CBE 5738,Polymers in Bioengineering,3.00
CBE 5740,Quantitative Cell Biology for Engineers and Scientists,3.00
CBE 5745,Responsive Soft Matter in Chemical Engineering,3.00
CBE 5755,Chemical Process Safety,3.00
CBE 5761,Chemical and Biomolecular Engineering Processes,3.00
CBE 5765,Principles of Biochemical Engineering,3.00
CBE 5766,Biotechnology and Bioprocess Engineering,3.00
CBE 5771,Air Pollution,3.00
CBE 5772,Principles of Sustainable Engineering,3.00
CBE 5773,Introduction to High Polymer Engineering,3.00
CBE 5774,Polymer Membranes,3.00
CBE 5775,Rheology of Fluids,3.00
CBE 5777,"Introduction to Polymer Engineering at Macro-, Micro-, and Nanoscale",3.00
CBE 5779,Design and Analysis of Experiments,3.00
CBE 5780,Molecular Dynamics Simulations,3.00
CBE 5790,Modeling and Simulation,3.00
CBE 6999,Thesis Research in Chemical and Biomolecular Engineering,1.00 - 15.00
CBE 8189,Teaching Mentorship in Chemical and Biomolecular Engineering,3.00
CBE 8194,Group Studies in Chemical and Biomolecular Engineering,1.00 - 6.00
CBE 8781,Research Communications in Chemical and Biomolecular Engineering,2.00
CBE 8799,Teaching Practicum in Chemical and Biomolecular Engineering,1.00 - 6.00
CBE 8801,Analysis of Chemical and Biomolecular Engineering Problems,3.00
CBE 8808,Advanced Thermodynamics I,3.00
CBE 8809,Advanced Thermodynamics II,3.00
CBE 8812,Advanced Kinetics I,3.00
CBE 8815,Advanced Transport,3.00
CBE 8895,Seminar in Chemical and Biomolecular Engineering,1.00
CBE 8999,Dissertation Research in Chemical and Biomolecular Engineering,1.00 - 15.00
CIVILEN 2001,Introduction to Infrastructure,3.00
CIVILEN 2050,Probabilistic Applications and Data Interpretation in Civil and Environmental Engineering,3.00
CIVILEN 2060,Numerical Analysis Methods for Civil and Environmental Engineering Applications,4.00
CIVILEN 2090,Professional Aspects of Civil and Environmental Engineering,1.00
CIVILEN 2193,Individual Studies in Civil Engineering,1.00 - 5.00
CIVILEN 2194,Group Studies in Civil Engineering,1.00 - 5.00
CIVILEN 2405,Computer Graphics for Civil Engineers,1.00
CIVILEN 2410,Introduction to Surveying,3.00
CIVILEN 2810,Construction Engineering and Management: An Introduction,3.00
CIVILEN 3080,Economic Evaluation and Optimization in Civil and Environmental Engineering,3.00
CIVILEN 3130,Fluid Mechanics,3.00
CIVILEN 3160,Water Resources Engineering,3.00
CIVILEN 3310,Structural Engineering Principles,3.00
CIVILEN 3510,Civil Engineering Materials,3.00
CIVILEN 3540,Geotechnical Engineering,2.00
CIVILEN 3541,Geotechnical Engineering Laboratory,1.00
CIVILEN 3700,Transportation Engineering and Analysis,3.00
CIVILEN 4001,Civil Engineering Capstone I,2.00
CIVILEN 4002,Civil Engineering Capstone II,2.00
CIVILEN 4011,Civil Engineering Global Capstone I,2.00
CIVILEN 4012,Civil Engineering Global Capstone II,2.00
CIVILEN 4191.01,Civil Engineering Internship I,1.00
CIVILEN 4191.02,Civil Engineering Internship II,2.00
CIVILEN 4193,Individual Studies in Civil Engineering,1.00 - 5.00
CIVILEN 4194,Group Studies in Civil Engineering,1.00 - 5.00
CIVILEN 4210,The Physics of Sustainable Buildings,3.00
CIVILEN 4310,Structural Analysis,3.00
CIVILEN 4320,Structural Steel Design,3.00
CIVILEN 4340,Behavior of Structural Element,3.00
CIVILEN 4350,Reinforced Concrete Design,3.00
CIVILEN 4552,Design and Construction of Flexible Pavements,3.00
CIVILEN 4800,Project Management in Civil Engineering,3.00
CIVILEN 4998,Undergraduate Research in Civil Engineering,1.00 - 5.00
CIVILEN 4998H,Undergraduate Research in Civil Engineering,1.00 - 5.00
CIVILEN 4999,Civil Engineering Research for Thesis,1.00 - 5.00
CIVILEN 4999H,Civil Engineering Research for Thesis,1.00 - 5.00
CIVILEN 5130,Applied Hydrology,3.00
CIVILEN 5162,Introduction to Laminated Composite Materials,3.00
CIVILEN 5168,Introduction to the Finite Element Method,3.00
CIVILEN 5194,Group Studies in Civil Engineering,1.00 - 5.00
CIVILEN 5220,Open Channel Hydraulics,3.00
CIVILEN 5230,Transport Phenomena in Water Resources Engineering,3.00
CIVILEN 5240,Groundwater Engineering,3.00
CIVILEN 5300,"Airport Planning, Design, and Development",3.00
CIVILEN 5310,Matrix Structural Analysis,3.00
CIVILEN 5320,Intermediate Structural Steel Design,3.00
CIVILEN 5350,Intermediate Reinforced Concrete Design,3.00
CIVILEN 5360,Bridge Engineering,3.00
CIVILEN 5370,Prestressed Concrete Design,3.00
CIVILEN 5390,Knowledge-Based Systems in Engineering,2.00
CIVILEN 5400,Introduction to Geographic Information Systems,4.00
CIVILEN 5410,Engineering Surveying,3.00
CIVILEN 5411,Legal Surveying,3.00
CIVILEN 5412,Land Boundary & Development Principles,3.00
CIVILEN 5420,Remote Sensing of Environment,3.00
CIVILEN 5421,Spatial Analysis Techniques for Civil Engineering,3.00
CIVILEN 5422,Terrain Analysis,3.00
CIVILEN 5441,Introduction to GPS: Theory and Applications,3.00
CIVILEN 5461,Geospatial Numerical Analysis,4.00
CIVILEN 5510,Durability and Condition Assessment of Reinforced Concrete Structures,3.00
CIVILEN 5561,"Rock Mechanics, Slope Stability and Retaining Structures",3.00
CIVILEN 5571,Principles of Foundation Analysis and Design,3.00
CIVILEN 5581,Numerical Methods in Geotechnical Engineering,3.00
CIVILEN 5610.01,Sustainable WaSH Infrastructure for Developing Rural Communities,3.00
CIVILEN 5610.02,Safe Water on Tap,3.00
CIVILEN 5700,Urban Transportation Demand Forecasting,3.00
CIVILEN 5720,Transportation Engineering Data Collection Studies,3.00
CIVILEN 5730,Highway Location and Design,3.00
CIVILEN 5740,Design and Operation of Road Traffic Facilities,3.00
CIVILEN 5750,"Instrumentation, Signals, and Control in Transportation Applications",3.00
CIVILEN 5760,Network Metrics and Control in Transportation Systems,3.00
CIVILEN 5770,Urban Public Transportation,3.00
CIVILEN 5780,Seminar in Transportation Engineering and Planning,1.00
CIVILEN 5810,Construction Safety and Forensics,3.00
CIVILEN 5820,Construction Estimating,3.00
CIVILEN 5830,Construction Scheduling,3.00
CIVILEN 5840,Construction Contracts and Claims,3.00
CIVILEN 6002,Structural Design Studio II,3.00
CIVILEN 6193,Individual Studies in Civil Engineering,1.00 - 5.00
CIVILEN 6194,Group Studies in Civil Engineering,1.00 - 5.00
CIVILEN 6210,The Physics of Sustainable Buildings,3.00
CIVILEN 6211,Simulation of Building Energy Performance,3.00
CIVILEN 6230,Numerical Models in Water Resources Engineering,3.00
CIVILEN 6300,Dynamics of Structures,3.00
CIVILEN 6435,Global Navigation Satellite Systems (GNSS) Data Processing,3.00
CIVILEN 6451,Introduction to Photogrammetry,3.00
CIVILEN 6510,Advanced Concrete Materials,3.00
CIVILEN 6880,Civil Engineering Graduate Seminar,1.00
CIVILEN 6999,Civil Engineering Research for Thesis,1.00 - 15.00
CIVILEN 7320,Structural Reliability,3.00
CIVILEN 7330,Earthquake Engineering,3.00
CIVILEN 7350,Advanced Reinforced Concrete,3.00
CIVILEN 7421,Advanced Machine Learning for Remote Sensing Image Interpretation,3.00
CIVILEN 7432,Advanced Spatial Databases,4.00
CIVILEN 7442,Fundamentals of GPS and Reference Systems,4.00
CIVILEN 7452,Spatial Geometry and Spectral Analysis,4.00
CIVILEN 7453,Photogrammetric Computer Vision,3.00
CIVILEN 7730,Transportation Demand Modeling,4.00
CIVILEN 7740,Urban Transportation Network Analysis,4.00
CIVILEN 7760,Transportation Management Systems,3.00
CIVILEN 7770,Infrastructure Systems Analysis,3.00
CIVILEN 7780,Graduate Student Seminar in Transportation Engineering and Planning,1.00
CIVILEN 7790,Transportation Practicum,4.00
CIVILEN 8193,Individual Studies in Civil Engineering,1.00 - 5.00
CIVILEN 8194,Group Studies in Civil Engineering,1.00 - 5.00
CIVILEN 8443,Advanced Topics in GPS,3.00
CIVILEN 8454,Videogrammetry,3.00
CIVILEN 8462,Advanced Geospatial Sensors and Methods,4.00
CIVILEN 8810,Construction Intelligent System and Simulation I,3.00
CIVILEN 8820,Construction Intelligent System and Simulation II,3.00
CIVILEN 8998,Graduate Research in Civil Engineering,1.00 - 15.00
CIVILEN 8999,Civil Engineering Research for Dissertation,1.00 - 15.00
CSE 1110,Introduction to Computing Technology,3.00
CSE 1111,Introduction to Computer-Assisted Problem Solving,3.00
CSE 1112,Introduction to Computer-Assisted Problem Solving for Construction Systems Management,3.00
CSE 1113,Spreadsheet Programming for Business,1.00
CSE 1114,Introduction to Databases Using MS Access,1.50
CSE 1194,Group Studies in Computer Science and Engineering,1.00 - 10.00
CSE 1211,"Computational Thinking in Context: Images, Animation, and Games",3.00
CSE 1212,Computational Thinking in Context: Mobile Applications,3.00
CSE 1213,Computational Thinking in Context: Game Development,4.00
CSE 1221,Introduction to Computer Programming in MATLAB for Engineers and Scientists,2.00
CSE 1222,Introduction to Computer Programming in C++ for Engineers and Scientists,3.00
CSE 1223,Introduction to Computer Programming in Java,3.00
CSE 1224,Introduction to Computer Programming in Python,3.00
CSE 2021,Introduction to Modeling and Simulation,3.00
CSE 2111,Modeling and Problem Solving with Spreadsheets and Databases,3.00
CSE 2112,Modeling and Problem Solving with Spreadsheets and Databases for Engineers,3.00
CSE 2122,Data Structures Using C++,3.00
CSE 2123,Data Structures Using Java,3.00
CSE 2133,Business Programming with File Processing,3.00
CSE 2193,Individual Studies in Computer Science and Engineering,1.00 - 10.00
CSE 2193H,Individual Studies in Computer Science and Engineering,1.00 - 10.00
CSE 2194,Group Studies in Computer Science and Engineering,1.00 - 10.00
CSE 2194H,Group Studies in Computer Science and Engineering,1.00 - 10.00
CSE 2221,Software I: Software Components,4.00
CSE 2231,Software II: Software Development and Design,4.00
CSE 2321,Foundations I: Discrete Structures,3.00
CSE 2331,Foundations II: Data Structures and Algorithms,3.00
CSE 2371,Quantum Circuits and Algorithms,3.00
CSE 2421,Systems I: Introduction to Low-Level Programming and Computer Organization,4.00
CSE 2431,Systems II: Introduction to Operating Systems,3.00
CSE 2451,Advanced C Programming,2.00
CSE 2501,"Social, Ethical, and Professional Issues in Computing",1.00
CSE 3231,Software Engineering Techniques,3.00
CSE 3232,Software Requirements Analysis,3.00
CSE 3241,Introduction to Database Systems,3.00
CSE 3244,Data Management in the Cloud,3.00
CSE 3321,Automata and Formal Languages,3.00
CSE 3341,Principles of Programming Languages,3.00
CSE 3421,Introduction to Computer Architecture,3.00
CSE 3430,Overview of Computer Systems For Non-Majors,4.00
CSE 3461,Computer Networking and Internet Technologies,3.00
CSE 3521,Survey of Artificial Intelligence I: Basic Techniques,3.00
CSE 3541,Computer Game and Animation Techniques,3.00
CSE 3901,"Project: Design, Development, and Documentation of Web Applications",4.00
CSE 3902,"Project: Design, Development, and Documentation of Interactive Systems",4.00
CSE 3903,"Project: Design, Development, and Documentation of System Software",4.00
CSE 4191,Professional Practice in Industry,0.00
CSE 4193,Individual Studies in Computer Science and Engineering,1.00 - 10.00
CSE 4193H,Individual Studies in Computer Science and Engineering,1.00 - 10.00
CSE 4194,Group Studies in Computer Science and Engineering,1.00 - 10.00
CSE 4194H,Group Studies in Computer Science and Engineering,1.00 - 10.00
CSE 4251,The UNIX Programming Environment,1.00
CSE 4252,Programming in C++,1.00
CSE 4253,Programming in C#,1.00
CSE 4254,Programming in Lisp,1.00
CSE 4256,Programming in Python,1.00
CSE 4471,Information Security,3.00
CSE 4998,Undergraduate Research in Computer Science and Engineering,1.00 - 10.00
CSE 4998H,Undergraduate Research in Computer Science and Engineering,1.00 - 10.00
CSE 4999,Computer Science and Engineering Research for Thesis,1.00 - 10.00
CSE 4999H,Computer Science and Engineering Research for Thesis,1.00 - 10.00
CSE 5022,Software I: Software Components,3.00
CSE 5023,Software II: Software Development and Design,3.00
CSE 5032,Foundations I: Discrete Structures,2.00
CSE 5042,Systems I: Introduction to Low-Level Programming and Computer Organization,3.00
CSE 5043,Overview of Computer Systems For Non-Majors,3.00
CSE 5052,Survey of Artificial Intelligence for Non-Majors,3.00
CSE 5194.01,Group Studies in Computer Science and Engineering,1.00 - 10.00
CSE 5194.02,Group Studies in Computer Science and Engineering,1.00 - 10.00
CSE 5231,Software Engineering Techniques,2.00
CSE 5232,Software Requirements Analysis,2.00
CSE 5234,Distributed Enterprise Computing,3.00
CSE 5235,Applied Enterprise Architectures and Services,3.00
CSE 5236,Mobile Application Development,3.00
CSE 5239,Intermediate Studies in Software Engineering,2.00 - 3.00
CSE 5241,Introduction to Database Systems,2.00
CSE 5242,Advanced Database Management Systems,3.00
CSE 5243,Introduction to Data Mining,3.00
CSE 5245,Introduction to Network Science,3.00
CSE 5249,Intermediate Studies in Databases,2.00 - 3.00
CSE 5321,Automata and Formal Languages,2.00
CSE 5329,Intermediate Studies in Computation Theory,2.00 - 3.00
CSE 5331,Foundations II: Data Structures and Algorithms,2.00
CSE 5339,Intermediate Studies in Algorithms,2.00 - 3.00
CSE 5341,Principles of Programming Languages,2.00
CSE 5343,Compiler Design and Implementation,3.00
CSE 5349,Intermediate Studies in Programming Languages,2.00 - 3.00
CSE 5351,Introduction to Cryptography,3.00
CSE 5359,Intermediate Studies in Cryptography,2.00 - 3.00
CSE 5361,Numerical Methods,3.00
CSE 5421,Introduction to Computer Architecture,2.00
CSE 5429,Intermediate Studies in Computer Architecture,2.00 - 3.00
CSE 5431,Systems II: Introduction to Operating Systems,2.00
CSE 5432,Mobile Handset Systems and Networking,3.00
