Course_Number,Course_Title,Credit_Hours
ENGR 5797.02,Engineering Study Abroad in Central America,0.50 - 12.00
ENGR 5797.03,Engineering Study Abroad in South America,0.50 - 12.00
ENGR 5797.04,Engineering Study Abroad in East Asia,0.50 - 12.00
ENGR 5797.05,Engineering Study Abroad in South Asia,0.50 - 12.00
ENGR 5797.06,Engineering Study Abroad in Central Asia,0.50 - 12.00
ENGR 5797.07,Engineering Study Abroad in Oceania,0.50 - 12.00
ENGR 5797.08,Engineering Study Abroad in Middle East,0.50 - 12.00
ENGR 5797.09,Engineering Study Abroad in Africa,0.50 - 12.00
ENGR 5797.10,Engineering Study Abroad in Europe,0.50 - 12.00
ENGR 5797.11S,Engineering Service-Learning in Honduras,3.00
ENGR 5797.12,Exploring Culture and Engineering in India,3.00
ENGR 5797.13,Engineering the Castles and Cathedrals of England and Wales,3.00
ENGR 5797.14,OSU - Colombia Collaboration,3.00
ENGR 5797.15,Korea Aerospace University International Summer Program,3.00
ENGR 5797.16S,Solar Engineering Service-Learning,3.00
ENGR 5797.17S,Engineering Service-Learning Ghana In Country,4.00
ENGR 5797.18,Engineering of Ancient Greece,3.00
ENGR 5797.19,Design Principles and Biomedical Research at Nanjing University,3.00
ENGR 5797.20,Sustainable and Resilient Infrastructure in Italy,3.00
ENGR 5797.21S,Sustainable and Resilient Tanzanian Communities - Engineering,1.00 - 3.00
ENGR 5797.22S,Guatemala Service-Learning,3.00
ENGR 5797.23,Humanitarian Engineering and Culture in Guyana,3.00
ENGR 5797.24,Sustainable Community Development - Honduras,3.00
ENGR 5797.25,International Perspectives on Aviation,3.00
ENGR 5797.26,Japanese American Design Experience (JADE),3.00
ENGR 5901.01,Multidisciplinary Engineering Capstone Design Project I,3.00
ENGR 5901.02H,Multidisciplinary Engineering Capstone Design Project 1 - Honors IBE,3.00
ENGR 5902.01,Multidisciplinary Engineering Capstone Design Project II,3.00
ENGR 5902.02H,Multidisciplinary Engineering Capstone Design Project II - Honors IBE,3.00
ENGR 6000,ENG Graduate Professional Development,1.00
ENGR 6193,Individual Studies in Engineering,1.00 - 4.00
ENGR 6194,Group Studies in Engineering,1.00 - 4.00
ENGR 6210,Leadership and Team Effectiveness for Engineers,3.00
ENGR 6220,Financial and Managerial Accounting for Engineers,3.00
ENGR 6230,Technology Strategy & Innovation for Engineers,3.00
ENGR 6240,Operational Excellence Master of Engineering Management Capstone,3.00
ENGR 6850S,Translating Engineering Research to K-8 (TEK8),3.00
ENGR 6892.01,Studies in Engineering for In-Service Teachers,1.00
ENGR 7100,MGEL Integrative Project,1.00 - 5.00
ENGR 7193,Individual Studies in Engineering,1.00 - 4.00
ENGR 7194,Group Studies in Engineering,1.00 - 4.00
ENGR 7200,Engineering Ethics and Professionalism,1.00
ENGR 7710,Engineering Research Communications,3.00
ENGR 7881,Interdepartmental Seminar,1.00 - 4.00
ENGR 7891,"Colloquia, Workshops, and Seminars",1.00 - 4.00
ENGR 8194,Group Studies in Engineering,1.00 - 4.00
ENGR 8998,Research in Engineering Education,1.00 - 10.00
ENGR 8999,Research in Engineering Education for Dissertation,1.00 - 10.00
ENGREDU 4999,Undergraduate Thesis Research in Engineering Education,1.00 - 5.00
ENGREDU 4999H,Undergraduate Honors Thesis Research in Engineering Education,1.00 - 5.00
ENGREDU 6100,Foundations and the Field of Engineering Education,3.00
ENGREDU 6194,Group Studies in Engineering Education,1.00 - 4.00
ENGREDU 6200,"Learning Theory, Pedagogy, and Assessment in Engineering Education",3.00
ENGREDU 7189.01,Teaching Preparation and Support,2.00
ENGREDU 7189.02,Professional Development in College Teaching,1.00
ENGREDU 7193,Individual Studies in Engineering Education,1.00 - 4.00
ENGREDU 7194,Group Studies in Engineering Education,1.00 - 4.00
ENGREDU 7780,Research Design in Engineering Education,3.00
ENGREDU 7881,Seminar in Engineering Education,1.00
ENGREDU 7900,Career Exploration and Professional Development,3.00
ENGREDU 8998,Research in Engineering Education,1.00 - 5.00
ENGREDU 8999,Research in Engineering Education for Dissertation,1.00 - 18.00
ENGRTEC 1200,Introduction to Engineering Technology,1.00
ENGRTEC 1500,Manufacturing Processes I,3.00
ENGRTEC 1600,Engineering Graphics,3.00
ENGRTEC 2100,Introduction to Robotics with Vision,2.00
ENGRTEC 2300,Electrical Circuits for Engineering Technology,3.00
ENGRTEC 2500,Manufacturing Processes II,2.00
ENGRTEC 3100,Material Science with Engineering Technology Applications,0.50
ENGRTEC 3600,"Technology, Structure and Applications for Controls",3.00
ENGRTEC 3700,Mechanical Processes,3.00
ENGRTEC 3800,Project Management for Engineering Technology,3.00
ENGRTEC 3900,Industrial Automation PLC1,3.00
ENGRTEC 4191.01,Professional Development Internship in Eng Tech I,1.00
ENGRTEC 4191.02,Professional Development Internship in Eng Tech II,2.00
ENGRTEC 4200,Industrial Automation - PLC2,3.00
ENGRTEC 4250,Lean Six Sigma Foundations,3.00
ENGRTEC 4300,Facility Layout and Integration,3.00
ENGRTEC 4400,Leadership and Change Management,3.00
ENGRTEC 4500,Intelligent Manufacturing and Automation,3.00
ENGRTEC 4600,Power and Drives,3.00
ENGRTEC 4700,"Networks, Security, & Safety Applications",3.00
ENGRTEC 4900,ENGRTEC Capstone I,3.00
ENGRTEC 4910,ENGRTEC Capstone II,3.00
