Course_Number,Course_Title,Credit_Hours
ISE 7620,Advanced Topics in Biomechanics and Musculoskeletal Disorders: Upper Extremity Biomechanics,3.00
ISE 7625,Biomechanics Research Practicum: Experience in Upper Extremity Biomechanics,3.00
ISE 7630,Advanced Topics in Biomechanics and Musculoskeletal Disorders: Contemporary Issues,3.00
ISE 7700,Cognitive Systems Engineering: Advanced Topics,3.00
ISE 7710,Cognitive Systems Engineering Research Practicum,3.00
ISE 7720,Cognitive Systems Engineering: Models and Methods,3.00
ISE 7881,Interdepartmental Seminar,1.00 - 4.00
ISE 7882,Interdepartmental Seminar for MBLE program,1.00 - 4.00
ISE 7883,Department Seminar,1.00
ISE 7891,"Colloquia, Workshops, and Seminars in Integrated Systems Engineering",1.00 - 4.00
ISE 8099,Special Topics in Systems Engineering,1.00 - 4.00
ISE 8194,Group Studies in Integrated Systems Engineering,1.00 - 4.00
ISE 8299,Special Topics in Optimization,1.00 - 4.00
ISE 8399,Special Topics in Stochastic Modeling,1.00 - 4.00
ISE 8499,Special Topics in Production/Manufacturing Systems,1.00 - 4.00
ISE 8599,Special Topics in Manufacturing Processes,1.00 - 4.00
ISE 8699,Special Topics in Physical Ergonomics,1.00 - 4.00
ISE 8850,Practice in Operations Research,3.00
ISE 8899,Special Topics in Integrated Systems,1.00 - 4.00
ISE 8998,Research in Integrated Systems Engineering,1.00 - 15.00
ISE 8999,Research in Integrated Systems Engineering for Dissertation,1.00 - 15.00
